item_id,upc_present,country_region_present,status,note
124443107633,no,no,OK,
126112000074,no,no,OK,
126328889625,no,no,OK,
126431926007,no,no,OK,
126454417969,no,no,OK,
126475110167,no,no,OK,
126495661368,no,no,OK,
127226971822,no,no,OK,
127389768403,no,no,OK,
127389768418,no,no,OK,
127389768433,no,no,OK,
127389838864,no,no,OK,
127389838883,no,no,OK,
127389838916,no,no,OK,
127389838935,no,no,OK,
127389838946,no,no,OK,
127389857802,no,no,OK,
127389857818,no,no,OK,
127389857832,no,no,OK,
127389857845,no,no,OK,
127389857860,no,no,OK,
127389857878,no,no,OK,
127389878153,no,no,OK,
127389878166,no,no,OK,
127389878179,no,no,OK,
127389878192,no,no,OK,
127389878212,no,no,OK,
127389878236,no,no,OK,
127389932539,no,no,OK,
127389932552,no,no,OK,
127389932565,no,no,OK,
127389932575,no,no,OK,
127389932585,no,no,OK,
127389946579,no,no,OK,
127389969237,no,no,OK,
127801274476,no,no,OK,
234517180623,no,no,OK,
235238649466,no,no,OK,
235397488898,no,no,OK,
235459823131,no,no,OK,
235520156841,no,no,OK,
235546014012,no,no,OK,
235588568699,no,no,OK,
236088941803,no,no,OK,
236344962444,no,no,OK,
236344962469,no,no,OK,
236345031404,no,no,OK,
236345031420,no,no,OK,
236345031444,no,no,OK,
236345031454,no,no,OK,
236345031474,no,no,OK,
236345056382,no,no,OK,
236345056399,no,no,OK,
236345056416,no,no,OK,
236345056430,no,no,OK,
236345069128,no,no,OK,
236345069139,no,no,OK,
236345069152,no,no,OK,
236345069164,no,no,OK,
236345069178,no,no,OK,
236345137141,no,no,OK,
236345137167,no,no,OK,
236345137181,no,no,OK,
236345137197,no,no,OK,
236345137210,no,no,OK,
236345137225,no,no,OK,
236345146196,no,no,OK,
236345160663,no,no,OK,
236475895875,no,no,OK,
363809308977,no,no,OK,
364709344786,no,no,OK,
364846782864,no,no,OK,
364888929125,no,no,OK,
364909875082,no,no,OK,
365504557753,no,no,OK,
365879832359,no,no,OK,
365879832376,no,no,OK,
365879832395,no,no,OK,
365879907937,no,no,OK,
365879907957,no,no,OK,
365879907987,no,no,OK,
365879908009,no,no,OK,
365879908026,no,no,OK,
365879935272,no,no,OK,
365879935286,no,no,OK,
365879935296,no,no,OK,
365879935309,no,no,OK,
365879935325,no,no,OK,
365879950535,no,no,OK,
365879950545,no,no,OK,
365879950557,no,no,OK,
365879950568,no,no,OK,
365879950584,no,no,OK,
365879996345,no,no,OK,
365879996361,no,no,OK,
365879996381,no,no,OK,
365879996405,no,no,OK,
365879996424,no,no,OK,
365880042745,no,no,OK,
365924277847,no,no,OK,
