order,parent_sku,name,child_country_of_origin
1,SON-550PARACORDROPE-ASRO-PARENT,ASR Outdoor 550 Paracord Rope,"China x20, United States x7"
2,NPT-ANIMALHUNTINGKNIFE-PARENT,ASR Outdoor 13.5"" Collector's Hunting Knife,"United States x6, China x4"
3,SON-FLOATWHISTLE-PARENT,ASR Outdoor Floating Survival Whistle,"United States x2, China x2"
4,SON-SSDESWCT-PARENT,ToolTreaux Stainless Steel Wax Carver,"China x3, India x2"
5,SONA-CUTTINGMAT-PARENT,Hobby & Craft Self-Healing Cutting Mat,"Taiwan x5, China x2"
6,HWK-TOOLBELT-PARENT,9 Pocket Carpenter Tool Belt,"China x4, India x1"
7,MCN-CAMOFORMGEARWRAP-PARENT,GEAR AID Camo Form Wrap 2x144,"United States x13, China x2"
8,MCN-TENACIOUSTAPE-PARENT,Gear Aid Tenacious Tape 3x20,"United States x22, China x4"
9,MCN-CAMOFORM-EBAY2-PARENT,GEAR AID Camo Form Wrap 2x144,"United States x6, China x1"
10,SON-100PKZIPTIES-PARENT,100pk 12in Cable Zip Ties,"China x3, United States x1"
11,PRF-MEDICINEBALLPOSTER-PARENT,Productive Fitness Medicine Ball Poster,"CA x1, Canada x1 (same country, spelling only)"
