item_id,sku,title,aspect,approved_value,category_id,invalid_pieces,real_allowed_values_for_category,suggested_fix
126487251794,KOL-BARBIE-STAR-EARRINGS-PC316,Girls Gold Star Bundle Set with Barbie Dangle Earrings Dress Up,Age Level,"3-4 Years, 4-7, 8-11 Years",19172,8-11 Years,12 Months & Under | 1-2 Years | 3-4 Years | 4-7,"drop invalid piece(s) ['8-11 Years'] -> keep '3-4 Years, 4-7' ?"
127389838868,UPD-RINGBRACELET-ARI,Disney Princess Girls Ring Bracelet Costume Jewelry with Charm - Ariel,Age Level,"3-4 Years, 4-7, 8-11 Years",19172,8-11 Years,12 Months & Under | 1-2 Years | 3-4 Years | 4-7,"drop invalid piece(s) ['8-11 Years'] -> keep '3-4 Years, 4-7' ?"
127389838883,ABC-SWATELITESET-DF42218A,Kidplokio Swat Elite Police Toys Kids Blaster and Cuffs Set Boys Ages 3 and Up,Age Level,"3-4 Years, 4-7, 8-11 Years",19172,8-11 Years,12 Months & Under | 1-2 Years | 3-4 Years | 4-7,"drop invalid piece(s) ['8-11 Years'] -> keep '3-4 Years, 4-7' ?"
127389857845,LST-SPCBLSTBAG-BLU-BUN,Kidplokio 2pc Space Toy Bundle Blue Blaster and Superhero Cinch Bag Boys 3 Up,Age Level,"3-4 Years, 4-7, 8-11 Years",19181,8-11 Years,12 Months & Under | 1-2 Years | 3-4 Years | 4-7,"drop invalid piece(s) ['8-11 Years'] -> keep '3-4 Years, 4-7' ?"
127389857876,LST-KPL-TOOLBOXTOY-YLW-XC930A,"Kidplokio 28pc Construction Toys Tool Box Work Bench Playset for Boys, Ages 3",Age Level,"3-4 Years, 4-7, 8-11 Years",2646,8-11 Years,12 Months & Under | 1-2 Years | 3-4 Years | 4-7,"drop invalid piece(s) ['8-11 Years'] -> keep '3-4 Years, 4-7' ?"
127389878157,LST-SPCBLSTBAG-GRN-BUN,Kidplokio 2pc Space Toy Bundle Green Blaster and Superhero Cinch Bag Boys 3 Up,Age Level,"3-4 Years, 4-7, 8-11 Years",19181,8-11 Years,12 Months & Under | 1-2 Years | 3-4 Years | 4-7,"drop invalid piece(s) ['8-11 Years'] -> keep '3-4 Years, 4-7' ?"
127389932580,UPD-SUNNYHAIR-CLIP,Sunny Day Girls Faux Hair Extension Clip and Style with Snap Barrettes Gift Set,Age Level,"3-4 Years, 4-7, 8-11 Years",19172,8-11 Years,12 Months & Under | 1-2 Years | 3-4 Years | 4-7,"drop invalid piece(s) ['8-11 Years'] -> keep '3-4 Years, 4-7' ?"
127389969242,UPD-MINNIE-FAUXHAIR,Disney Minnie Mouse Purple Blue Faux Hair Braid Ponytail Extension with Pink Bow,Age Level,"3-4 Years, 4-7, 8-11 Years",19172,8-11 Years,12 Months & Under | 1-2 Years | 3-4 Years | 4-7,"drop invalid piece(s) ['8-11 Years'] -> keep '3-4 Years, 4-7' ?"
235546013987,LST-FAIRYTEASET-PNK,Kidplokio Pink Fairytale Tea Party Pretend Playset 17pc Girls Toys Ages 3 and Up,Age Level,"3-4 Years, 4-7, 8-11 Years",19171,8-11 Years,12 Months & Under | 1-2 Years | 3-4 Years | 4-7,"drop invalid piece(s) ['8-11 Years'] -> keep '3-4 Years, 4-7' ?"
235546014012,LST-FORESTTEASET-PINK,"Kidplokio 9pc Pink Enchanted Forest Tea Party Set for Little Girls, Ages 3 and",Age Level,"3-4 Years, 4-7, 8-11 Years",19171,8-11 Years,12 Months & Under | 1-2 Years | 3-4 Years | 4-7,"drop invalid piece(s) ['8-11 Years'] -> keep '3-4 Years, 4-7' ?"
235547635892,LST-FORESTTEASET-BLU,"Kidplokio 9pc Blue Enchanted Forest Tea Party Set for Little Girls, Ages 3 and",Age Level,"3-4 Years, 4-7, 8-11 Years",19171,8-11 Years,12 Months & Under | 1-2 Years | 3-4 Years | 4-7,"drop invalid piece(s) ['8-11 Years'] -> keep '3-4 Years, 4-7' ?"
236345031456,UPD-DPBFSWBRAHC-7-PNK,Disney Princess 6pc Girls BFF Fashion Jewelry Hair Accessories Set with,Age Level,"3-4 Years, 4-7, 8-11 Years",19172,8-11 Years,12 Months & Under | 1-2 Years | 3-4 Years | 4-7,"drop invalid piece(s) ['8-11 Years'] -> keep '3-4 Years, 4-7' ?"
236345031460,LST-DINOPLAYSET-6PC,Kidplokio DIY Build Dinosaur Robot Assembly Toy Figure Play Set Boys Ages 3+,Age Level,"3-4 Years, 4-7, 8-11 Years",19170,8-11 Years,12 Months & Under | 1-2 Years | 3-4 Years | 4-7,"drop invalid piece(s) ['8-11 Years'] -> keep '3-4 Years, 4-7' ?"
236345069135,UPD-MINCHARMRING-PNK,Disney Minnie Mouse Girls Beaded Ring Bracelet Glitter Charm Jewelry Gift,Age Level,"3-4 Years, 4-7, 8-11 Years",19172,8-11 Years,12 Months & Under | 1-2 Years | 3-4 Years | 4-7,"drop invalid piece(s) ['8-11 Years'] -> keep '3-4 Years, 4-7' ?"
236345137198,UPD-MINNAILKIT-4PC,Minnie Mouse BFF Complete Manicure Pediure Girls Fashion Nail Kit - 4pc,Age Level,"3-4 Years, 4-7, 8-11 Years",19172,8-11 Years,12 Months & Under | 1-2 Years | 3-4 Years | 4-7,"drop invalid piece(s) ['8-11 Years'] -> keep '3-4 Years, 4-7' ?"
236345137219,XGI-URBANPLAYMAT-FIRE-KP-IH,"Kidplokio 8pc Urban City Fire Truck Friction Powered Toy Cars with Play Mat,",Age Level,"3-4 Years, 4-7, 8-11 Years",2646,8-11 Years,12 Months & Under | 1-2 Years | 3-4 Years | 4-7,"drop invalid piece(s) ['8-11 Years'] -> keep '3-4 Years, 4-7' ?"
365879907934,LST-SHOPCARTBLU-EODS008-921,Kidplokio Blue Jumbo Shopping Cart Pretend Playset Play Food Kids Ages 3 and Up,Age Level,"3-4 Years, 4-7, 8-11 Years",19181,8-11 Years,12 Months & Under | 1-2 Years | 3-4 Years | 4-7,"drop invalid piece(s) ['8-11 Years'] -> keep '3-4 Years, 4-7' ?"
365879907974,UPD-SMHAIRBOW-SHIM,Shimmer and Shine Girls Fashion Accessory Hair Bow Barrette Sparkle Clip,Age Level,"3-4 Years, 4-7, 8-11 Years",19172,8-11 Years,12 Months & Under | 1-2 Years | 3-4 Years | 4-7,"drop invalid piece(s) ['8-11 Years'] -> keep '3-4 Years, 4-7' ?"
365879935275,UPD-PRINCESSHAIRBACKPACK-SM,Disney Princess Girls Hair Accessories Backpack with Comb Mirror Hair Ponies,Age Level,"3-4 Years, 4-7, 8-11 Years",19172,8-11 Years,12 Months & Under | 1-2 Years | 3-4 Years | 4-7,"drop invalid piece(s) ['8-11 Years'] -> keep '3-4 Years, 4-7' ?"
365879935276,LST-PPECRG-LG-GRN-3,KidPlay Toys Pretend Cash Register with Play Money and Groceries,Age Level,"3-4 Years, 4-7, 8-11 Years",19181,8-11 Years,12 Months & Under | 1-2 Years | 3-4 Years | 4-7,"drop invalid piece(s) ['8-11 Years'] -> keep '3-4 Years, 4-7' ?"
365879935312,LST-ROBOTDINO-GRN-Y333-11,"Kidplokio Green Walking Robot Dinosaur Dragon Space Toys Lights Sounds, Boys",Age Level,"3-4 Years, 4-7, 8-11 Years",19170,8-11 Years,12 Months & Under | 1-2 Years | 3-4 Years | 4-7,"drop invalid piece(s) ['8-11 Years'] -> keep '3-4 Years, 4-7' ?"
365879950547,UPD-TS4EARRINGSET-14PC,Disney Pixar Toy Story 4 Days of the Week Stick On Earrings and Rings Set,Age Level,"3-4 Years, 4-7, 8-11 Years",19172,8-11 Years,12 Months & Under | 1-2 Years | 3-4 Years | 4-7,"drop invalid piece(s) ['8-11 Years'] -> keep '3-4 Years, 4-7' ?"
365879996381,LST-KIDSGOLFCADDYSET-2PK-BUNDLE,"(2 Pack) Kids Indoor Golf Club Toddler Activity Pretend Play Set, Ages 3-8",Age Level,"3-4 Years, 4-7, 8-11 Years",19181,8-11 Years,12 Months & Under | 1-2 Years | 3-4 Years | 4-7,"drop invalid piece(s) ['8-11 Years'] -> keep '3-4 Years, 4-7' ?"
365880042759,LST-SPACEGUN-RF300-GRN-2PK-BUN,Kidplokio 2pk Green Sonic Space Blaster Toy Lights and Sounds Boys Ages 3 and Up,Age Level,"3-4 Years, 4-7, 8-11 Years",19181,8-11 Years,12 Months & Under | 1-2 Years | 3-4 Years | 4-7,"drop invalid piece(s) ['8-11 Years'] -> keep '3-4 Years, 4-7' ?"
127389857796,AQM-MFUQC14I-14-BLCK,"Aquamira Universal Quick Connect 1/4"" Tubing Splice Kit - Fits Frontier Filter",Department,Unisex,87125,Unisex,Boys | Girls | Men | Unisex Adults | Unisex Kids | Women,no piece of this value is valid for this category -- needs a real replacement
127389857880,UPD-DIARYSET-ENCANTO-713292EN,Disney Encanto Journal Diary with Lock Keys Pom Pom Pen Girls Ages 3 and Up,Franchise,Encanto,13844,Encanto,Disney,no piece of this value is valid for this category -- needs a real replacement
236345137223,DOY-TS3STUDYSET-4PC,Toy Story 3 Kids School Supplies Study Set Notebook Pencil Sharpener Eraser 4pc,Franchise,Toy Story,13844,Toy Story,Disney,no piece of this value is valid for this category -- needs a real replacement
235456017183,SON-TTXCOMPTESTKIT-BUN,ToolTreaux Complete Gold Testing Kit Gold Prospecting Tools and Accessories,Unit Type,Kit,262020,Kit,Unit | oz | lb | fl oz | gal | ft | ft² | ft³,no piece of this value is valid for this category -- needs a real replacement
